LC_EQ,QR_CONTENT,LABEL
1,1,LC_EQ 001
2,2,LC_EQ 002
3,3,LC_EQ 003
4,4,LC_EQ 004
5,5,LC_EQ 005
6,6,LC_EQ 006
7,7,LC_EQ 007
8,8,LC_EQ 008
9,9,LC_EQ 009
10,10,LC_EQ 010
11,11,LC_EQ 011
12,12,LC_EQ 012
13,13,LC_EQ 013
14,14,LC_EQ 014
15,15,LC_EQ 015
16,16,LC_EQ 016
17,17,LC_EQ 017
18,18,LC_EQ 018
19,19,LC_EQ 019
20,20,LC_EQ 020
21,21,LC_EQ 021
22,22,LC_EQ 022
23,23,LC_EQ 023
24,24,LC_EQ 024
25,25,LC_EQ 025
26,26,LC_EQ 026
27,27,LC_EQ 027
28,28,LC_EQ 028
29,29,LC_EQ 029
30,30,LC_EQ 030
31,31,LC_EQ 031
32,32,LC_EQ 032
33,33,LC_EQ 033
34,34,LC_EQ 034
35,35,LC_EQ 035
36,36,LC_EQ 036
37,37,LC_EQ 037
38,38,LC_EQ 038
39,39,LC_EQ 039
40,40,LC_EQ 040
41,41,LC_EQ 041
42,42,LC_EQ 042
43,43,LC_EQ 043
44,44,LC_EQ 044
45,45,LC_EQ 045
46,46,LC_EQ 046
47,47,LC_EQ 047
48,48,LC_EQ 048
49,49,LC_EQ 049
50,50,LC_EQ 050
