ID,EQUIPO,LOCALIZACION,SISTEMA,TAGNAME,CODE_QR,QR_CONTENT,ADVERTENCIA,ARCHIVO_PNG
1,BOOSTER,1,TURBINA BG-1,MOT-6241,11-MOT-6241,11-MOT-6241,,LC1_11-MOT-6241.png
2,NOX-LIQUIDO,2,TURBINA BG-1,MOT-6242,11-MOT-6242,11-MOT-6242,,LC2_11-MOT-6242.png
3,NOX-GAS,3,TURBINA BG-1,MOT-62059,11-MOT-62059,11-MOT-62059,,LC3_11-MOT-62059.png
4,VENT TURB A,4,TURBINA BG-1,MOT-6417,11-MOT-6417,11-MOT-6417,,LC4_11-MOT-6417.png
5,VENT TURB B,5,TURBINA BG-1,MOT-6418,11-MOT-6418,11-MOT-6418,,LC5_11-MOT-6418.png
11,VENT GEN A,6,TURBINA BG-1,MOT-6413,11-MOT-6413,11-MOT-6413,,LC6_11-MOT-6413.png
12,VENT GEN B,7,TURBINA BG-1,MOT-6416,11-MOT-6416,11-MOT-6416,,LC7_11-MOT-6416.png
6,BOOSTER,8,TURBINA BG-2,MOT-6241,12-MOT-6241,12-MOT-6241,,LC8_12-MOT-6241.png
7,NOX-LIQUIDO,9,TURBINA BG-2,MOT-6242,12-MOT-6242,12-MOT-6242,,LC9_12-MOT-6242.png
8,NOX-GAS,10,TURBINA BG-2,MOT-62059,12-MOT-62059,12-MOT-62059,,LC10_12-MOT-62059.png
9,VENT TURB A,11,TURBINA BG-2,MOT-6417,12-MOT-6417,12-MOT-6417,,LC11_12-MOT-6417.png
10,VENT TURB B,12,TURBINA BG-2,MOT-6418,12-MOT-6418,12-MOT-6418,,LC12_12-MOT-6418.png
13,VENT GEN A,13,TURBINA BG-2,MOT-6413,12-MOT-6413,12-MOT-6413,,LC13_12-MOT-6413.png
14,VENT GEN B,14,TURBINA BG-2,MOT-6416,12-MOT-6416,12-MOT-6416,,LC14_12-MOT-6416.png
15,FIN FAN A,15,TURBINA BG-1,MOT-6090,11-MOT-6090,11-MOT-6090,,LC15_11-MOT-6090.png
16,FIN FAN B,16,TURBINA BG-2,MOT-6091,12-MOT-6091,12-MOT-6091,,LC16_12-MOT-6091.png
17,FIN FAN B,17,TURBINA BG-1,MOT-6091,11-MOT-6091,11-MOT-6091,,LC17_11-MOT-6091.png
18,FIN FAN A,18,TURBINA BG-2,MOT-6090,12-MOT-6090,12-MOT-6090,,LC18_12-MOT-6090.png
33,HYD-STR,19,TURBINA BG-1,MOT-1615,11-MOT-1615,11-MOT-1615,,LC19_11-MOT-1615.png
31,SPRINT,20,TURBINA BG-1,MOT-62226,11-MOT-62226,11-MOT-62226,,LC20_11-MOT-62226.png
34,HYD-STR,21,TURBINA BG-2,MOT-1615,12-MOT-1615,12-MOT-1615,,LC21_12-MOT-1615.png
32,SPRINT,22,TURBINA BG-2,MOT-62226,12-MOT-62226,12-MOT-62226,,LC22_12-MOT-62226.png
39,11DW-02A,23,DEMINERALIZED WATER,11-DW-CP-002A,11-DW-CP-002A,11-DW-CP-002A,,LC23_11-DW-CP-002A.png
